Metal,Stage,Reagent,Value
"Lithium, brine",Mining,"neutralising agent, sodium hydroxide-equivalent",0.0
"Lithium, brine",Mining,"hydrochloric acid, without water, in 30% solution state",0.0
"Lithium, brine",Mining,"soda ash, light",0.0
"Lithium, brine",Mining,"quicklime, milled, packed",0.0
"Lithium, brine",Mining,kerosene,0.0
"Lithium, brine",Mining,sulfuric acid,0.0
"Lithium, brine",Mining,"sodium hydroxide, without water, in 50% solution state",0.0
"Lithium, brine",Mining,"quicklime, milled, loose",0.0
"Lithium, brine",Mining,"hydrogen peroxide, without water, in 50% solution state",0.0
"Lithium, brine",Mining,"carbon dioxide, liquid",0.0
"Lithium, brine",Mining,bentonite,0.0
"Lithium, brine",Mining,sulfur,0.0
"Lithium, brine",Mining,magnesium oxide,0.0
"Lithium, brine",Mining,"limestone, crushed, for mill",0.0
"Lithium, brine",Mining,"lime, hydraulic",0.0
"Lithium, brine",Mining,"soda ash, dense",0.0
"Lithium, brine",Mining,ammonium bicarbonate,0.0
"Lithium, brine",Mining,lime,0.0
"Lithium, brine",Mining,"limestone, crushed, washed",0.0
"Lithium, brine",Mining,disodium disulphite,0.0
"Lithium, brine",Mining,diesel,0.0
"Lithium, brine",Mining,"nitric acid, without water, in 50% solution state",0.0
"Lithium, brine",Mining,hydrogen fluoride,0.0
"Lithium, brine",Mining,pitch,0.0
"Lithium, brine",Mining,"nitrogen, liquid",0.0
"Lithium, brine",Mining,"phosphoric acid, fertiliser grade, without water, in 70% solution state",0.0
"Lithium, brine",Mining,iron sulfate,0.0
"Lithium, brine",Concentration,"neutralising agent, sodium hydroxide-equivalent",0.07107254338921597
"Lithium, brine",Concentration,"hydrochloric acid, without water, in 30% solution state",0.08539591076719169
"Lithium, brine",Concentration,"soda ash, light",0.13040842088355026
"Lithium, brine",Concentration,"quicklime, milled, packed",0.050341984710898346
"Lithium, brine",Concentration,kerosene,0.14924948976176913
"Lithium, brine",Concentration,sulfuric acid,0.0
"Lithium, brine",Concentration,"sodium hydroxide, without water, in 50% solution state",0.0
"Lithium, brine",Concentration,"quicklime, milled, loose",0.0
"Lithium, brine",Concentration,"hydrogen peroxide, without water, in 50% solution state",0.0
"Lithium, brine",Concentration,"carbon dioxide, liquid",0.0
"Lithium, brine",Concentration,bentonite,0.0
"Lithium, brine",Concentration,sulfur,0.0
