Metal,Stage,Reagent,Value
Cobalt,Mining,"hydrogen, gaseous, medium pressure, merchant",0.0
Cobalt,Mining,naphthalene sulfonic acid,0.0
Cobalt,Mining,"sodium chloride, powder",0.0
Cobalt,Mining,"sodium sulfate, anhydrite",0.0
Cobalt,Mining,"sulfur dioxide, liquid",0.0
Cobalt,Mining,coal tar,0.0
Cobalt,Concentration,"neutralising agent, sodium hydroxide-equivalent",0.0
Cobalt,Concentration,"hydrochloric acid, without water, in 30% solution state",0.0
Cobalt,Concentration,"soda ash, light",0.0
Cobalt,Concentration,"quicklime, milled, packed",0.0
Cobalt,Concentration,sulfuric acid,0.0
Cobalt,Concentration,"sodium hydroxide, without water, in 50% solution state",0.13986352451807707
Cobalt,Concentration,"quicklime, milled, loose",0.0
Cobalt,Concentration,"hydrogen peroxide, without water, in 50% solution state",0.0
Cobalt,Concentration,"carbon dioxide, liquid",0.0
Cobalt,Concentration,bentonite,0.0
Cobalt,Concentration,sulfur,0.31764910708348315
Cobalt,Concentration,magnesium oxide,0.743407987745288
Cobalt,Concentration,"limestone, crushed, for mill",0.0065998340651599935
Cobalt,Concentration,"lime, hydraulic",0.7070128263478103
Cobalt,Concentration,"soda ash, dense",0.0
Cobalt,Concentration,ammonium bicarbonate,0.0
Cobalt,Concentration,lime,0.0
Cobalt,Concentration,"limestone, crushed, washed",0.0
Cobalt,Concentration,disodium disulphite,0.0
Cobalt,Concentration,"nitric acid, without water, in 50% solution state",0.0
Cobalt,Concentration,hydrogen fluoride,0.0
Cobalt,Concentration,"nitrogen, liquid",0.0
Cobalt,Concentration,"phosphoric acid, fertiliser grade, without water, in 70% solution state",0.0
Cobalt,Concentration,iron sulfate,0.0
Cobalt,Concentration,"aluminium sulfate, powder",0.0
Cobalt,Concentration,"chlorine, liquid",0.0
Cobalt,Concentration,"chlorine, gaseous",0.0
Cobalt,Concentration,"iron (III) chloride, without water, in 40% solution state",0.0
Cobalt,Concentration,"lime, hydrated, packed",0.0
Cobalt,Concentration,sodium hydrogen sulfite,0.0
Cobalt,Concentration,sodium pyrophosphate,0.0
Cobalt,Concentration,"ammonia, anhydrous, liquid",0.0
Cobalt,Concentration,hydrogen sulfide,0.0
Cobalt,Concentration,"oxygen, liquid",0.0
Cobalt,Concentration,formaldehyde,0.0
Cobalt,Concentration,"hydrogen, gaseous, medium pressure, merchant",0.0
Cobalt,Concentration,naphthalene sulfonic acid,0.0
Cobalt,Concentration,"sodium chloride, powder",0.0
Cobalt,Concentration,"sodium sulfate, anhydrite",0.0
Cobalt,Concentration,"sulfur dioxide, liquid",0.0
Cobalt,Concentration,coal tar,0.0
Cobalt,Refining,"neutralising agent, sodium hydroxide-equivalent",0.0
Cobalt,Refining,"hydrochloric acid, without water, in 30% solution state",1.7864372416119103
Cobalt,Refining,"soda ash, light",0.0
Cobalt,Refining,"quicklime, milled, packed",0.0
Cobalt,Refining,sulfuric acid,0.18194676468853085
Cobalt,Refining,"sodium hydroxide, without water, in 50% solution state",4.936359689687365
Cobalt,Refining,"quicklime, milled, loose",0.0
Cobalt,Refining,"hydrogen peroxide, without water, in 50% solution state",0.0
Cobalt,Refining,"carbon dioxide, liquid",0.0
Cobalt,Refining,bentonite,0.0
Cobalt,Refining,sulfur,0.0
Cobalt,Refining,magnesium oxide,0.0
Cobalt,Refining,"limestone, crushed, for mill",0.0
Cobalt,Refining,"lime, hydraulic",0.0
Cobalt,Refining,"soda ash, dense",0.04368930901231284
Cobalt,Refining,ammonium bicarbonate,0.3795446478441428
Cobalt,Refining,lime,0.0003201556701824603
Cobalt,Refining,"limestone, crushed, washed",0.00014704202300640172
Cobalt,Refining,disodium disulphite,0.04366042206710515
Cobalt,Refining,"nitric acid, without water, in 50% solution state",0.0
Cobalt,Refining,hydrogen fluoride,0.0
Cobalt,Refining,"nitrogen, liquid",0.0
Cobalt,Refining,"phosphoric acid, fertiliser grade, without water, in 70% solution state",0.0
Cobalt,Refining,iron sulfate,0.0
Cobalt,Refining,"aluminium sulfate, powder",0.0
Cobalt,Refining,"chlorine, liquid",0.0
Cobalt,Refining,"chlorine, gaseous",0.0
Cobalt,Refining,"iron (III) chloride, without water, in 40% solution state",0.0
Cobalt,Refining,"lime, hydrated, packed",0.0
Cobalt,Refining,sodium hydrogen sulfite,0.0
Cobalt,Refining,sodium pyrophosphate,0.0
Cobalt,Refining,"ammonia, anhydrous, liquid",0.0
Cobalt,Refining,hydrogen sulfide,0.0
Cobalt,Refining,"oxygen, liquid",0.0
Cobalt,Refining,formaldehyde,0.0
Cobalt,Refining,"hydrogen, gaseous, medium pressure, merchant",0.0
Cobalt,Refining,naphthalene sulfonic acid,0.0
Cobalt,Refining,"sodium chloride, powder",0.0
Cobalt,Refining,"sodium sulfate, anhydrite",0.0
Cobalt,Refining,"sulfur dioxide, liquid",0.0
Cobalt,Refining,coal tar,0.0
"Lithium, spodumene",Mining,"neutralising agent, sodium hydroxide-equivalent",0.0
"Lithium, spodumene",Mining,"hydrochloric acid, without water, in 30% solution state",0.0
"Lithium, spodumene",Mining,"soda ash, light",0.0
"Lithium, spodumene",Mining,"quicklime, milled, packed",0.0
"Lithium, spodumene",Mining,sulfuric acid,0.0
"Lithium, spodumene",Mining,"sodium hydroxide, without water, in 50% solution state",0.0
"Lithium, spodumene",Mining,"quicklime, milled, loose",0.0
"Lithium, spodumene",Mining,"hydrogen peroxide, without water, in 50% solution state",0.0
"Lithium, spodumene",Mining,"carbon dioxide, liquid",0.0
"Lithium, spodumene",Mining,bentonite,0.0
"Lithium, spodumene",Mining,sulfur,0.0
"Lithium, spodumene",Mining,magnesium oxide,0.0
"Lithium, spodumene",Mining,"limestone, crushed, for mill",0.0
"Lithium, spodumene",Mining,"lime, hydraulic",0.0
"Lithium, spodumene",Mining,"soda ash, dense",0.0
"Lithium, spodumene",Mining,ammonium bicarbonate,0.0
"Lithium, spodumene",Mining,lime,0.0
"Lithium, spodumene",Mining,"limestone, crushed, washed",0.0
"Lithium, spodumene",Mining,disodium disulphite,0.0
"Lithium, spodumene",Mining,"nitric acid, without water, in 50% solution state",0.0
"Lithium, spodumene",Mining,hydrogen fluoride,0.0
"Lithium, spodumene",Mining,"nitrogen, liquid",0.0
"Lithium, spodumene",Mining,"phosphoric acid, fertiliser grade, without water, in 70% solution state",0.0
"Lithium, spodumene",Mining,iron sulfate,0.0
"Lithium, spodumene",Mining,"aluminium sulfate, powder",0.0
"Lithium, spodumene",Mining,"chlorine, liquid",0.0
"Lithium, spodumene",Mining,"chlorine, gaseous",0.0
"Lithium, spodumene",Mining,"iron (III) chloride, without water, in 40% solution state",0.0
"Lithium, spodumene",Mining,"lime, hydrated, packed",0.0
"Lithium, spodumene",Mining,sodium hydrogen sulfite,0.0
"Lithium, spodumene",Mining,sodium pyrophosphate,0.0
"Lithium, spodumene",Mining,"ammonia, anhydrous, liquid",0.0
"Lithium, spodumene",Mining,hydrogen sulfide,0.0
"Lithium, spodumene",Mining,"oxygen, liquid",0.0
"Lithium, spodumene",Mining,formaldehyde,0.0
"Lithium, spodumene",Mining,"hydrogen, gaseous, medium pressure, merchant",0.0
"Lithium, spodumene",Mining,naphthalene sulfonic acid,0.0
"Lithium, spodumene",Mining,"sodium chloride, powder",0.0
"Lithium, spodumene",Mining,"sodium sulfate, anhydrite",0.0
"Lithium, spodumene",Mining,"sulfur dioxide, liquid",0.0
"Lithium, spodumene",Mining,coal tar,0.0
"Lithium, spodumene",Concentration,"neutralising agent, sodium hydroxide-equivalent",0.0
"Lithium, spodumene",Concentration,"hydrochloric acid, without water, in 30% solution state",0.0
"Lithium, spodumene",Concentration,"soda ash, light",0.0
"Lithium, spodumene",Concentration,"quicklime, milled, packed",0.0
"Lithium, spodumene",Concentration,sulfuric acid,0.0
"Lithium, spodumene",Concentration,"sodium hydroxide, without water, in 50% solution state",0.0
"Lithium, spodumene",Concentration,"quicklime, milled, loose",0.0
"Lithium, spodumene",Concentration,"hydrogen peroxide, without water, in 50% solution state",0.0
"Lithium, spodumene",Concentration,"carbon dioxide, liquid",0.0
"Lithium, spodumene",Concentration,bentonite,0.0
"Lithium, spodumene",Concentration,sulfur,0.0
"Lithium, spodumene",Concentration,magnesium oxide,0.0
"Lithium, spodumene",Concentration,"limestone, crushed, for mill",0.0
"Lithium, spodumene",Concentration,"lime, hydraulic",0.0
"Lithium, spodumene",Concentration,"soda ash, dense",0.0
"Lithium, spodumene",Concentration,ammonium bicarbonate,0.0
"Lithium, spodumene",Concentration,lime,0.0
"Lithium, spodumene",Concentration,"limestone, crushed, washed",0.0
"Lithium, spodumene",Concentration,disodium disulphite,0.0
"Lithium, spodumene",Concentration,"nitric acid, without water, in 50% solution state",0.0
"Lithium, spodumene",Concentration,hydrogen fluoride,0.0
"Lithium, spodumene",Concentration,"nitrogen, liquid",0.0
"Lithium, spodumene",Concentration,"phosphoric acid, fertiliser grade, without water, in 70% solution state",0.0
"Lithium, spodumene",Concentration,iron sulfate,0.0
"Lithium, spodumene",Concentration,"aluminium sulfate, powder",0.0
"Lithium, spodumene",Concentration,"chlorine, liquid",0.0
"Lithium, spodumene",Concentration,"chlorine, gaseous",0.0
"Lithium, spodumene",Concentration,"iron (III) chloride, without water, in 40% solution state",0.0
"Lithium, spodumene",Concentration,"lime, hydrated, packed",0.0
"Lithium, spodumene",Concentration,sodium hydrogen sulfite,0.0
"Lithium, spodumene",Concentration,sodium pyrophosphate,0.0
"Lithium, spodumene",Concentration,"ammonia, anhydrous, liquid",0.0
"Lithium, spodumene",Concentration,hydrogen sulfide,0.0
"Lithium, spodumene",Concentration,"oxygen, liquid",0.0
"Lithium, spodumene",Concentration,formaldehyde,0.0
"Lithium, spodumene",Concentration,"hydrogen, gaseous, medium pressure, merchant",0.0
"Lithium, spodumene",Concentration,naphthalene sulfonic acid,0.0
"Lithium, spodumene",Concentration,"sodium chloride, powder",0.0
"Lithium, spodumene",Concentration,"sodium sulfate, anhydrite",0.0
"Lithium, spodumene",Concentration,"sulfur dioxide, liquid",0.0
"Lithium, spodumene",Concentration,coal tar,0.0
"Lithium, spodumene",Refining,"neutralising agent, sodium hydroxide-equivalent",0.0
"Lithium, spodumene",Refining,"hydrochloric acid, without water, in 30% solution state",0.0
"Lithium, spodumene",Refining,"soda ash, light",0.011230352314024862
"Lithium, spodumene",Refining,"quicklime, milled, packed",0.0
"Lithium, spodumene",Refining,sulfuric acid,0.2765590824339376
"Lithium, spodumene",Refining,"sodium hydroxide, without water, in 50% solution state",1.7651225558577173
"Lithium, spodumene",Refining,"quicklime, milled, loose",0.7239863119072416
"Lithium, spodumene",Refining,"hydrogen peroxide, without water, in 50% solution state",0.0
"Lithium, spodumene",Refining,"carbon dioxide, liquid",0.0
"Lithium, spodumene",Refining,bentonite,0.0
"Lithium, spodumene",Refining,sulfur,0.0
"Lithium, spodumene",Refining,magnesium oxide,0.0
"Lithium, spodumene",Refining,"limestone, crushed, for mill",0.0
"Lithium, spodumene",Refining,"lime, hydraulic",0.0
"Lithium, spodumene",Refining,"soda ash, dense",0.0
"Lithium, spodumene",Refining,ammonium bicarbonate,0.0
"Lithium, spodumene",Refining,lime,0.0
"Lithium, spodumene",Refining,"limestone, crushed, washed",0.0
"Lithium, spodumene",Refining,disodium disulphite,0.0
"Lithium, spodumene",Refining,"nitric acid, without water, in 50% solution state",0.0
"Lithium, spodumene",Refining,hydrogen fluoride,0.0
"Lithium, spodumene",Refining,"nitrogen, liquid",0.0
"Lithium, spodumene",Refining,"phosphoric acid, fertiliser grade, without water, in 70% solution state",0.0
"Lithium, spodumene",Refining,iron sulfate,0.0
"Lithium, spodumene",Refining,"aluminium sulfate, powder",0.0
"Lithium, spodumene",Refining,"chlorine, liquid",0.0
"Lithium, spodumene",Refining,"chlorine, gaseous",0.0
"Lithium, spodumene",Refining,"iron (III) chloride, without water, in 40% solution state",0.0
"Lithium, spodumene",Refining,"lime, hydrated, packed",0.0
"Lithium, spodumene",Refining,sodium hydrogen sulfite,0.0
"Lithium, spodumene",Refining,sodium pyrophosphate,0.0
"Lithium, spodumene",Refining,"ammonia, anhydrous, liquid",0.0
"Lithium, spodumene",Refining,hydrogen sulfide,0.0
"Lithium, spodumene",Refining,"oxygen, liquid",0.0
"Lithium, spodumene",Refining,formaldehyde,0.0
"Lithium, spodumene",Refining,"hydrogen, gaseous, medium pressure, merchant",0.0
"Lithium, spodumene",Refining,naphthalene sulfonic acid,0.0
"Lithium, spodumene",Refining,"sodium chloride, powder",0.0
"Lithium, spodumene",Refining,"sodium sulfate, anhydrite",0.0
"Lithium, spodumene",Refining,"sulfur dioxide, liquid",0.0
"Lithium, spodumene",Refining,coal tar,0.0
"Lithium, brine - carbonate",Mining,"neutralising agent, sodium hydroxide-equivalent",0.0
"Lithium, brine - carbonate",Mining,"hydrochloric acid, without water, in 30% solution state",0.0
"Lithium, brine - carbonate",Mining,"soda ash, light",0.0
"Lithium, brine - carbonate",Mining,"quicklime, milled, packed",0.0
"Lithium, brine - carbonate",Mining,sulfuric acid,0.0
"Lithium, brine - carbonate",Mining,"sodium hydroxide, without water, in 50% solution state",0.0
"Lithium, brine - carbonate",Mining,"quicklime, milled, loose",0.0
